Stato,ANSI,Popolazione (1-4-2020),Capitale
Alabama,AL,5 024 279,Montgomery
Alaska,AK,733 391,Juneau
Arizona,AZ,7 151 502,Phoenix
Arkansas,AR,3 011 524,Little Rock
California,CA,39 538 223,Sacramento
Carolina del Nord,NC,10 439 388,Raleigh
Carolina del Sud,SC,5 118 425,Columbia
Colorado,CO,5 773 714,Denver
Connecticut,CT,3 605 944,Hartford
Dakota del Nord,ND,779 094,Bismarck
Dakota del Sud,SD,886 667,Pierre
Delaware,DE,989 948,Dover
Distretto di Columbia,DC,689 545,
Florida,FL,21 538 187,Tallahassee
Georgia,GA,10 711 908,Atlanta
Hawaii,HI,1 455 271,Honolulu
Idaho,ID,1 839 106,Boise
Illinois,IL,12 812 508,Springfield
Indiana,IN,6 785 528,Indianapolis
Iowa,IA,3 190 369,Des Moines
Kansas,KS,2 937 880,Topeka
Kentucky,KY,4 505 836,Frankfort
Louisiana,LA,4 657 757,Baton Rouge
Maine,ME,1 362 359,Augusta
Maryland,MD,6 177 224,Annapolis
Massachusetts,MA,7 029 917,Boston
Michigan,MI,10 077 331,Lansing
Minnesota,MN,5 706 494,Saint Paul
Mississippi,MS,2 961 279,Jackson
Missouri,MO,6 154 913,Jefferson City
Montana,MT,1 084 225,Helena
Nebraska,NE,1 961 504,Lincoln
Nevada,NV,3 104 614,Carson City
New Hampshire,NH,1 377 529,Concord
New Jersey,NJ,9 288 994,Trenton
New York,NY,20 201 249,Albany
Nuovo Messico,NM,2 117 522,Santa Fe
Ohio,OH,11 799 448,Columbus
Oklahoma,OK,3 959 353,Oklahoma City
Oregon,OR,4 237 256,Salem
Pennsylvania,PA,13 002 700,Harrisburg
Rhode Island,RI,1 097 379,Providence
Tennessee,TN,6 910 840,Nashville
Texas,TX,29 145 505,Austin
Utah,UT,3 271 616,Salt Lake City
Vermont,VT,643 077,Montpelier
Virginia,VA,8 631 393,Richmond
Virginia Occidentale,WV,1 793 716,Charleston
Washington,WA,7 705 281,Olympia
Wisconsin,WI,5 893 718,Madison
Wyoming,WY,576 851,Cheyenne
